image_path,image_width,image_height,class_name,class_id,xmin,ymin,xmax,ymax,source_annotation,is_valid_raw,image_filename,xml_file,bbox_w,bbox_h,min_side,bbox_area,image_area,bbox_area_ratio
D:\project_root\data\raw\archive\9\img_01_429539000_00002.jpg,2048,1000,6_siban,6,881,30,2000,979,voc_xml,True,img_01_429539000_00002.jpg,D:\project_root\data\raw\archive\lable\img_01_429539000_00002.xml,1119,949,949,1061931,2048000,0.51852099609375
D:\project_root\data\raw\archive\10\img_02_3402618000_00007.jpg,2048,1000,10_yaozhe,0,300,225,1974,948,voc_xml,True,img_02_3402618000_00007.jpg,D:\project_root\data\raw\archive\lable\img_02_3402618000_00007.xml,1674,723,723,1210302,2048000,0.5909677734375
D:\project_root\data\raw\archive\6\img_02_436153600_00658.jpg,2048,1000,6_siban,6,489,124,1759,934,voc_xml,True,img_02_436153600_00658.jpg,D:\project_root\data\raw\archive\lable\img_02_436153600_00658.xml,1270,810,810,1028700,2048000,0.502294921875
D:\project_root\data\raw\archive\6\img_02_436153600_00660.jpg,2048,1000,6_siban,6,440,45,1747,1000,voc_xml,True,img_02_436153600_00660.jpg,D:\project_root\data\raw\archive\lable\img_02_436153600_00660.xml,1307,955,955,1248185,2048000,0.60946533203125
D:\project_root\data\raw\archive\6\img_02_436153600_00661.jpg,2048,1000,6_siban,6,436,134,1930,1000,voc_xml,True,img_02_436153600_00661.jpg,D:\project_root\data\raw\archive\lable\img_02_436153600_00661.xml,1494,866,866,1293804,2048000,0.631740234375
D:\project_root\data\raw\archive\6\img_02_436153600_00699.jpg,2048,1000,6_siban,6,454,91,1833,958,voc_xml,True,img_02_436153600_00699.jpg,D:\project_root\data\raw\archive\lable\img_02_436153600_00699.xml,1379,867,867,1195593,2048000,0.58378564453125
D:\project_root\data\raw\archive\6\img_02_436153600_00709.jpg,2048,1000,6_siban,6,370,19,1508,943,voc_xml,True,img_02_436153600_00709.jpg,D:\project_root\data\raw\archive\lable\img_02_436153600_00709.xml,1138,924,924,1051512,2048000,0.51343359375
D:\project_root\data\raw\archive\2\img_02_4402852500_01045.jpg,2048,1000,6_siban,6,192,286,1853,968,voc_xml,True,img_02_4402852500_01045.jpg,D:\project_root\data\raw\archive\lable\img_02_4402852500_01045.xml,1661,682,682,1132802,2048000,0.5531259765625
D:\project_root\data\raw\archive\2\img_02_4406743300_00001.jpg,2048,1000,6_siban,6,51,146,1889,984,voc_xml,True,img_02_4406743300_00001.jpg,D:\project_root\data\raw\archive\lable\img_02_4406743300_00001.xml,1838,838,838,1540244,2048000,0.752072265625
D:\project_root\data\raw\archive\10\img_03_3402618000_00007.jpg,2048,1000,10_yaozhe,0,200,145,1958,973,voc_xml,True,img_03_3402618000_00007.jpg,D:\project_root\data\raw\archive\lable\img_03_3402618000_00007.xml,1758,828,828,1455624,2048000,0.71075390625
D:\project_root\data\raw\archive\10\img_03_3402618000_00013.jpg,2048,1000,10_yaozhe,0,325,134,2020,916,voc_xml,True,img_03_3402618000_00013.jpg,D:\project_root\data\raw\archive\lable\img_03_3402618000_00013.xml,1695,782,782,1325490,2048000,0.6472119140625
D:\project_root\data\raw\archive\1\img_03_425609500_00001.jpg,2048,1000,6_siban,6,45,17,2013,630,voc_xml,True,img_03_425609500_00001.jpg,D:\project_root\data\raw\archive\lable\img_03_425609500_00001.xml,1968,613,613,1206384,2048000,0.5890546875
D:\project_root\data\raw\archive\1\img_03_425639900_00615.jpg,2048,1000,6_siban,6,232,140,1978,947,voc_xml,True,img_03_425639900_00615.jpg,D:\project_root\data\raw\archive\lable\img_03_425639900_00615.xml,1746,807,807,1409022,2048000,0.6879990234375
D:\project_root\data\raw\archive\1\img_03_425640000_00634.jpg,2048,1000,6_siban,6,267,197,2008,965,voc_xml,True,img_03_425640000_00634.jpg,D:\project_root\data\raw\archive\lable\img_03_425640000_00634.xml,1741,768,768,1337088,2048000,0.652875
D:\project_root\data\raw\archive\10\img_03_4404374100_01295.jpg,2048,1000,10_yaozhe,0,74,91,1426,927,voc_xml,True,img_03_4404374100_01295.jpg,D:\project_root\data\raw\archive\lable\img_03_4404374100_01295.xml,1352,836,836,1130272,2048000,0.551890625
D:\project_root\data\raw\archive\10\img_03_4404374300_00045.jpg,2048,1000,10_yaozhe,0,295,129,1610,952,voc_xml,True,img_03_4404374300_00045.jpg,D:\project_root\data\raw\archive\lable\img_03_4404374300_00045.xml,1315,823,823,1082245,2048000,0.52843994140625
D:\project_root\data\raw\archive\10\img_03_4404612700_00049.jpg,2048,1000,10_yaozhe,0,148,37,1890,970,voc_xml,True,img_03_4404612700_00049.jpg,D:\project_root\data\raw\archive\lable\img_03_4404612700_00049.xml,1742,933,933,1625286,2048000,0.7935966796875
D:\project_root\data\raw\archive\10\img_06_3436639700_00760.jpg,2048,1000,10_yaozhe,0,161,122,1981,853,voc_xml,True,img_06_3436639700_00760.jpg,D:\project_root\data\raw\archive\lable\img_06_3436639700_00760.xml,1820,731,731,1330420,2048000,0.649619140625
D:\project_root\data\raw\archive\10\img_06_3436814000_00005.jpg,2048,1000,10_yaozhe,0,89,68,1879,919,voc_xml,True,img_06_3436814000_00005.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00005.xml,1790,851,851,1523290,2048000,0.7437939453125
D:\project_root\data\raw\archive\10\img_06_3436814000_00006.jpg,2048,1000,10_yaozhe,0,92,111,1966,796,voc_xml,True,img_06_3436814000_00006.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00006.xml,1874,685,685,1283690,2048000,0.6268017578125
D:\project_root\data\raw\archive\10\img_06_3436814000_00007.jpg,2048,1000,10_yaozhe,0,126,58,1603,853,voc_xml,True,img_06_3436814000_00007.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00007.xml,1477,795,795,1174215,2048000,0.57334716796875
D:\project_root\data\raw\archive\10\img_06_3436814000_00008.jpg,2048,1000,10_yaozhe,0,48,47,1595,916,voc_xml,True,img_06_3436814000_00008.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00008.xml,1547,869,869,1344343,2048000,0.65641748046875
D:\project_root\data\raw\archive\10\img_06_3436814000_00009.jpg,2048,1000,10_yaozhe,0,248,99,1638,863,voc_xml,True,img_06_3436814000_00009.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00009.xml,1390,764,764,1061960,2048000,0.51853515625
D:\project_root\data\raw\archive\10\img_06_3436814000_00011.jpg,2048,1000,10_yaozhe,0,76,58,1872,737,voc_xml,True,img_06_3436814000_00011.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00011.xml,1796,679,679,1219484,2048000,0.595451171875
D:\project_root\data\raw\archive\10\img_06_3436814000_00016.jpg,2048,1000,10_yaozhe,0,38,21,1642,763,voc_xml,True,img_06_3436814000_00016.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00016.xml,1604,742,742,1190168,2048000,0.58113671875
D:\project_root\data\raw\archive\10\img_06_3436814000_00675.jpg,2048,1000,10_yaozhe,0,228,8,1463,971,voc_xml,True,img_06_3436814000_00675.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00675.xml,1235,963,963,1189305,2048000,0.58071533203125
D:\project_root\data\raw\archive\10\img_06_3436814000_00679.jpg,2048,1000,10_yaozhe,0,233,91,2048,914,voc_xml,True,img_06_3436814000_00679.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00679.xml,1815,823,823,1493745,2048000,0.72936767578125
D:\project_root\data\raw\archive\10\img_06_3436814000_00681.jpg,2048,1000,10_yaozhe,0,181,17,1286,992,voc_xml,True,img_06_3436814000_00681.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00681.xml,1105,975,975,1077375,2048000,0.52606201171875
D:\project_root\data\raw\archive\10\img_06_3436814000_00687.jpg,2048,1000,10_yaozhe,0,235,60,1897,982,voc_xml,True,img_06_3436814000_00687.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00687.xml,1662,922,922,1532364,2048000,0.748224609375
D:\project_root\data\raw\archive\10\img_06_3436814000_00691.jpg,2048,1000,10_yaozhe,0,177,42,1789,907,voc_xml,True,img_06_3436814000_00691.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00691.xml,1612,865,865,1394380,2048000,0.680849609375
D:\project_root\data\raw\archive\10\img_06_3436814000_00693.jpg,2048,1000,10_yaozhe,0,212,53,1841,991,voc_xml,True,img_06_3436814000_00693.jpg,D:\project_root\data\raw\archive\lable\img_06_3436814000_00693.xml,1629,938,938,1528002,2048000,0.7460947265625
D:\project_root\data\raw\archive\1\img_06_425608200_00814.jpg,2048,1000,6_siban,6,27,249,1659,970,voc_xml,True,img_06_425608200_00814.jpg,D:\project_root\data\raw\archive\lable\img_06_425608200_00814.xml,1632,721,721,1176672,2048000,0.574546875
D:\project_root\data\raw\archive\1\img_06_425639800_00873.jpg,2048,1000,6_siban,6,16,27,1829,967,voc_xml,True,img_06_425639800_00873.jpg,D:\project_root\data\raw\archive\lable\img_06_425639800_00873.xml,1813,940,940,1704220,2048000,0.832138671875
D:\project_root\data\raw\archive\10\img_06_436164300_00004.jpg,2048,1000,10_yaozhe,0,613,62,2013,957,voc_xml,True,img_06_436164300_00004.jpg,D:\project_root\data\raw\archive\lable\img_06_436164300_00004.xml,1400,895,895,1253000,2048000,0.61181640625
D:\project_root\data\raw\archive\10\img_06_436164700_01556.jpg,2048,1000,10_yaozhe,0,448,101,2041,973,voc_xml,True,img_06_436164700_01556.jpg,D:\project_root\data\raw\archive\lable\img_06_436164700_01556.xml,1593,872,872,1389096,2048000,0.67826953125
D:\project_root\data\raw\archive\10\img_06_4402719100_00020.jpg,2048,1000,10_yaozhe,0,195,47,2048,870,voc_xml,True,img_06_4402719100_00020.jpg,D:\project_root\data\raw\archive\lable\img_06_4402719100_00020.xml,1853,823,823,1525019,2048000,0.74463818359375
